Random;PHR
R2;67.0809832
R1;54.57039878
R1;54.54800585
R2;67.06682717
R1;54.55668092
R1;54.55982735
R1;54.56981652
R3;45.59892831
R1;54.538736
R3;45.59206918
R1;54.5581362
R3;45.6229175
R1;54.56488975
R3;45.5925463
R2;67.07032556
R1;54.56401094
R1;54.54901459
R1;54.55692147
R1;54.56904424
R3;45.60344688
R3;45.57883665
R1;54.56000115
R1;54.56135911
R2;67.071284
R1;54.55547213
R3;45.58490204
R1;54.5666368
R2;67.09246219
R1;54.54699293
R2;67.08919988
R2;67.07563305
R3;45.57388961
R2;67.06316025
R3;45.61314374
R2;67.06359066
R1;54.55620489
R2;67.08083255
R1;54.57972647
R1;54.54647551
R3;45.61800596
R3;45.61742171
R1;54.56852116
R2;67.08009968
R1;54.55645197
R2;67.07582602
R1;54.55924782
R3;45.59616838
R1;54.57051428
R3;45.59645318
R3;45.60189832
R3;45.59763453
R3;45.60016251
R2;67.07359114
R1;54.55328868
R1;54.56459621
R3;45.58804825
R3;45.61836474
R3;45.59212181
R2;67.07715182
R2;67.09108964
R2;67.07985185
R2;67.06548363
R3;45.60676153
R1;54.54292229
R2;67.05139241
R2;67.07358262
R3;45.59905491
R3;45.61244903
R3;45.59795583
R2;67.08445733
R1;54.55209681
R1;54.57945363
R1;54.55376057
R1;54.55433196
R1;54.548525
R1;54.54994645
R1;54.57501068
R2;67.06751419
R1;54.5516501
R1;54.56252161
R3;45.60830242
R1;54.57197905
R3;45.61180629
R2;67.0668794
R1;54.56821735
R2;67.08570155
R2;67.07333853
R1;54.55158932
R1;54.55850685
R3;45.59444948
R3;45.60702173
R3;45.6086393
R1;54.5600352
R3;45.61327822
R3;45.58783708
R1;54.56420331
R2;67.059389
R2;67.06763505
R2;67.06897295
R3;45.60696712
R3;45.59256707
R2;67.05620981
R2;67.07257033
R2;67.07502077
R2;67.0772417
R1;54.55669651
R1;54.5519327
R2;67.07633843
R2;67.07297799
R3;45.60797729
R1;54.55937601
R2;67.07602694
R1;54.54447436
R3;45.59876965
R1;54.56121562
R2;67.06821989
R2;67.07373526
R1;54.55786654
R1;54.54798879
R1;54.56605934
R2;67.07049989
R3;45.58774626
R3;45.5900391
R1;54.55641695
R2;67.06197471
R3;45.58645252
R3;45.60269884
R1;54.57215667
R2;67.07872731
R3;45.61153789
R2;67.06824003
R3;45.60228106
R1;54.56057099
R3;45.60020355
R3;45.60328005
R2;67.06975148
R1;54.574712
R2;67.06778937
R1;54.55352078
R3;45.59099779
R1;54.56663319
R1;54.55930585
R2;67.06447047
R3;45.60021012
R3;45.60420518
R2;67.06239381
R1;54.57708903
R1;54.55781823
R1;54.54375345
R2;67.06748158
R1;54.56128931
R3;45.60812996
R3;45.59230341
R2;67.05323431
R3;45.58726201
R1;54.54931462
R2;67.07684999
R1;54.56587511
R2;67.07744062
R3;45.61876372
R3;45.618517
R1;54.55876819
R2;67.06559927
R1;54.55534194
R1;54.57360245
R3;45.60683258
R3;45.61209337
R2;67.05509243
R2;67.06573005
R3;45.59082575
R2;67.06468894
R1;54.57036006
R2;67.06096951
R1;54.56976748
R1;54.56526834
R1;54.56043255
R2;67.08007453
R1;54.57098716
R3;45.60065798
R2;67.05853231
R2;67.06102525
R2;67.05497544
R2;67.07688745
R3;45.60836883
R2;67.0785524
R2;67.07008144
R3;45.59705921
R2;67.07575935
R2;67.07352622
R1;54.57661076
R3;45.59668872
R1;54.56504597
R1;54.56026821
R2;67.079701
R3;45.60292217
R3;45.61453367
R1;54.57308485
R1;54.57452331
R2;67.07235818
R2;67.07558086
R2;67.07638372
R3;45.60310109
R2;67.06829271
R3;45.60526486
R1;54.55157606
R2;67.06552178
R2;67.06751006
R2;67.04848542
R1;54.55621046
R2;67.07068933
R1;54.56209026
R3;45.59648054
R2;67.05840865
R1;54.54889865
R3;45.59336814
R2;67.06229523
R2;67.04763181
R1;54.54482173
R2;67.06799747
R2;67.05051608
R1;54.56320592
R2;67.08088748
R3;45.60938019
R3;45.61142146
R3;45.60324153
R2;67.07030637
R1;54.55624043
R2;67.06405218
R2;67.05837308
R3;45.59238868
R1;54.56544666
R1;54.54273574
R2;67.07475803
R2;67.06931319
R3;45.5995329
R3;45.59816677
R1;54.54617012
R3;45.59751208
R3;45.6163635
R2;67.05266323
R1;54.55785438
R1;54.55174589
R3;45.60849126
R3;45.6123978
R3;45.59455425
R2;67.07236243
R2;67.08443214
R1;54.54196893
R1;54.55409548
R2;67.0768333
R2;67.06462282
R1;54.54429984
R3;45.60325691
R2;67.07130862
R3;45.58979685
R2;67.05459174
R1;54.55763485
R2;67.06388724
R2;67.09316188
R2;67.0547979
R1;54.56195581
R1;54.5670724
R2;67.07784792
R3;45.60851432
R1;54.57530988
R1;54.55881061
R2;67.06224277
R2;67.06838244
R1;54.5503531
R3;45.61326538
R2;67.07330984
R3;45.60501368
R3;45.60500485
R3;45.61453597
R3;45.60989626
R1;54.5787207
R1;54.57149747
R2;67.07689903
R2;67.05295469
R3;45.5964804
R3;45.61101919
R2;67.07968498
R2;67.06490035
R3;45.5818351
R1;54.57196495
R1;54.54897312
R2;67.08188212
R1;54.56375661
R1;54.55135694
R3;45.58896052
R1;54.56272484
R3;45.60212813
R2;67.07466834
R2;67.06623843
R3;45.61491249
R2;67.07082114
R1;54.54834994
R1;54.55636847
R2;67.05646964
R3;45.60435454
R1;54.55426139
R2;67.08265395
R1;54.58069166
R1;54.56956591
R2;67.08040444
R3;45.60563021
R1;54.59051653
R2;67.05003734
R1;54.54965255
R2;67.06440279
R1;54.55419004
R1;54.5772225
R1;54.54649976
R2;67.06427623
R3;45.59260786
R3;45.60363956
R1;54.55356697
R3;45.60586739
R3;45.59722093
R2;67.08224503
R1;54.5677491
R1;54.5621689
R3;45.58999715
R3;45.60916818
R1;54.57810189
R2;67.06653032
R3;45.5884482
R2;67.06530932
R1;54.55184164
R1;54.55546163
R2;67.0740428
R2;67.07799792
R2;67.08860141
R2;67.05857917
R1;54.54833596
R3;45.59862264
R3;45.59091126
R1;54.56933721
R3;45.59343865
R2;67.05866515
R2;67.08828584
R1;54.54730855
R1;54.56377312
R3;45.61916106
R1;54.55979987
R3;45.60916554
R2;67.07325405
R1;54.54697159
R1;54.55867968
R1;54.55850038
R3;45.61577538
R2;67.06838102
R3;45.59733622
R2;67.07757263
R1;54.56234538
R3;45.58345062
R2;67.07513059
R2;67.05296935
R3;45.59920876
R1;54.54396995
R2;67.06286149
R2;67.07366249
R2;67.05228859
R2;67.07542744
R3;45.60107408
R3;45.6020171
R2;67.09837548
R3;45.60171936
R1;54.55027682
R2;67.08189762
R3;45.5801994
R2;67.07010871
R3;45.59063915
R2;67.05655112
R3;45.60996731
R1;54.57356564
R1;54.55494661
R1;54.56100878
R3;45.60557383
R1;54.54132655
R3;45.59649044
R3;45.5884953
R1;54.55425413
R3;45.60765857
R1;54.5453274
R2;67.07497419
R2;67.07100714
R3;45.59767125
R2;67.06699653
R3;45.58622918
R2;67.06456174
R3;45.59324628
R2;67.08901875
R2;67.0570045
R2;67.05716969
R1;54.55676474
R1;54.55737714
R2;67.08603842
R1;54.5597064
R2;67.07365368
R3;45.58545026
R1;54.5436672
R3;45.58597303
R2;67.0554163
R3;45.60156902
R1;54.56076588
R1;54.56367452
R3;45.5931429
R2;67.07507638
R2;67.08401655
R3;45.60386012
R1;54.56543466
R2;67.06601445
R2;67.06382142
R1;54.55927146
R2;67.05789194
R2;67.09529534
R1;54.55828076
R2;67.07520634
R1;54.56229376
R3;45.60786304
R2;67.0836063
R2;67.07410823
R2;67.06151884
R3;45.60020478
R3;45.58705331
R2;67.04779412
R2;67.06701217
R2;67.06765942
R2;67.07979961
R2;67.06604135
R2;67.07218791
R1;54.54062201
R1;54.56951957
R3;45.58824121
R2;67.07015805
R2;67.06689693
R3;45.59422728
R1;54.55964895
R2;67.06547064
R1;54.54942452
R1;54.54802616
R3;45.6073077
R1;54.56033061
R2;67.06829241
R2;67.05613935
R2;67.07318264
R2;67.07058246
R3;45.61266883
R3;45.60044973
R1;54.56633542
R1;54.55834623
R3;45.61343554
R2;67.06656207
R1;54.5510399
R3;45.58578027
R2;67.07572155
R2;67.07527482
R3;45.59234384
R2;67.07604834
R1;54.57834254
R3;45.58679114
R3;45.61127525
R3;45.60205785
R3;45.61177526
R2;67.08458565
R1;54.56409593
R2;67.05352753
R3;45.58823413
R3;45.5881245
R2;67.04296993
R1;54.58004617
R1;54.55759469
R1;54.56165406
R1;54.55998019
R3;45.59489631
R1;54.56461397
R2;67.06589059
R2;67.05007257
R1;54.57004893
R2;67.05505301
R2;67.07059361
R1;54.5667679
R2;67.07634843
R1;54.55530873
R1;54.55935975
R1;54.56217458
R1;54.55695618
R1;54.56770795
R1;54.55733044
R2;67.06988212
R2;67.05994764
R3;45.59624353
R1;54.55567056
R3;45.60493441
R3;45.60582742
R3;45.59627388
R3;45.60279514
R3;45.59470546
R1;54.57088861
R3;45.59657501
R1;54.57113177
R1;54.57483863
R2;67.05495263
R2;67.07237405
R2;67.05458146
R1;54.56820668
R1;54.55268769
R1;54.56203575
R2;67.064775
R3;45.60238474
R3;45.60041201
R2;67.07453457
R2;67.07569609
R2;67.07675217
R3;45.59581473
R2;67.08247232
R2;67.05025593
R2;67.06120611
R2;67.07715717
R2;67.07394749
R3;45.60161292
R1;54.55936473
R2;67.06729375
R1;54.54827652
R1;54.55755777
R3;45.60644524
R2;67.06689243
R3;45.59781873
R1;54.55536131
R3;45.60370855
R3;45.58213604
R1;54.5711865
R2;67.0729199
R1;54.54754052
R2;67.08208906
R3;45.60250751
R3;45.62451471
R3;45.59846958
R1;54.56216124
R1;54.57052427
R3;45.60648046
R1;54.54772753
R3;45.58297665
R1;54.5524703
R2;67.08079474
R1;54.56721208
R2;67.07806435
R2;67.05386959
R3;45.58902557
R1;54.55929843
R2;67.06741146
R3;45.59915644
R3;45.61406034
R1;54.56000154
R2;67.06105744
R3;45.60220569
R2;67.07857449
R3;45.61410202
R3;45.5970364
R2;67.06907915
R3;45.59939556
R2;67.06290542
R3;45.60086708
R1;54.55476679
R1;54.55417409
R2;67.08674234
R1;54.5570208
R2;67.06624856
R2;67.06385281
R2;67.07221533
R2;67.07186263
R2;67.05753598
R2;67.07611224
R2;67.05464512
R2;67.07038581
R2;67.05943716
R2;67.07348546
R2;67.07324503
R2;67.06200911
R3;45.59082971
R1;54.56083033
R1;54.55680403
R3;45.59150127
R2;67.07526184
R3;45.60736408
R2;67.0647583
R1;54.57373904
R1;54.5650732
R3;45.6059776
R1;54.53755615
R2;67.08169444
R2;67.08455273
R1;54.5484022
R3;45.61448107
R2;67.07719954
R3;45.60755285
R1;54.5639225
R2;67.0686471
R1;54.57091004
R1;54.54897309
R2;67.05855455
R2;67.06864693
R1;54.55021351
R1;54.56005861
R2;67.08564015
R3;45.58858597
R1;54.54945737
R2;67.07936876
R1;54.55475538
R3;45.60717719
R1;54.57599105
R3;45.59947181
R1;54.56760521
R2;67.07526014
R2;67.0681305
R1;54.56354039
R1;54.56420874
R2;67.07053093
R2;67.05692177
R1;54.57474171
R3;45.57919388
R2;67.08311869
R2;67.0628259
R2;67.07575751
R1;54.57800774
R3;45.60358104
R3;45.6051195
R1;54.56781047
R1;54.55570768
R1;54.57004459
R3;45.60120556
R2;67.07441136
R3;45.59505574
R2;67.07359848
R2;67.05210949
R1;54.55274735
R1;54.55943026
R3;45.59697644
R3;45.62453648
R3;45.61031203
R2;67.08636964
R2;67.06052987
R2;67.07097285
R2;67.06088641
R2;67.06268955
R1;54.5642462
R3;45.59324179
R3;45.5802172
R2;67.06333641
R3;45.61658591
R2;67.06844479
R2;67.0753123
R2;67.06237913
R2;67.07740599
R3;45.60087626
R3;45.59756487
R2;67.06496285
R3;45.61559704
R3;45.59364519
R3;45.5966771
R2;67.07508697
R3;45.59956437
R3;45.61131552
R2;67.07264563
R2;67.0589479
R1;54.55096157
R1;54.54678312
R2;67.05401632
R1;54.56178412
R2;67.11115029
R1;54.55894811
R3;45.60380648
R1;54.55833331
R1;54.56234349
R3;45.60867273
R1;54.56667094
R2;67.0609231
R1;54.54677897
R2;67.07525853
R3;45.58706613
R2;67.06103686
R1;54.559835
R1;54.5656073
R3;45.60798655
R3;45.58515328
R2;67.05866773
R3;45.57907269
R1;54.56842771
R2;67.06497525
R2;67.05951857
R1;54.55627116
R2;67.06427173
R2;67.0657756
R1;54.54603955
R3;45.59492966
R3;45.60635131
R1;54.5674163
R1;54.55791786
R1;54.57054648
R1;54.55346105
R2;67.07601075
R1;54.57616669
R2;67.05301837
R1;54.56306766
R3;45.61165915
R3;45.59184947
R1;54.55723059
R1;54.55565896
R3;45.60342583
R1;54.56165185
R3;45.60438813
R3;45.60287035
R1;54.55923089
R2;67.07123944
R1;54.57881986
R2;67.07107965
R3;45.61540936
R3;45.60035501
R2;67.0782227
R2;67.05243067
R1;54.55348572
R1;54.56737934
R2;67.08183993
R1;54.55376588
R2;67.07545967
R2;67.06067253
R1;54.5651301
R1;54.58772532
R2;67.07341316
R1;54.55924867
R3;45.61430153
R1;54.54672776
R3;45.61089138
R1;54.53966456
R3;45.58015521
R3;45.59754776
R2;67.07836064
R2;67.08582075
R1;54.56122849
R2;67.05598075
R1;54.58433597
R3;45.59601532
R3;45.57608032
R2;67.07993775
R2;67.04581234
R1;54.5508672
R1;54.55577629
R3;45.59708069
R1;54.55074032
R3;45.59683563
R2;67.049076
R3;45.60828106
R2;67.07177423
R2;67.07586379
R1;54.56199798
R1;54.55948193
R1;54.55088848
R2;67.08091261
R1;54.56080501
R3;45.60803249
R3;45.59232768
R3;45.5928151
R2;67.06903566
R3;45.57891968
R2;67.07005295
R2;67.06825905
R2;67.06787918
R3;45.5923455
R2;67.07808939
R3;45.5969674
R1;54.56089686
R1;54.55769226
R1;54.55517732
R1;54.52847522
R1;54.55237413
R2;67.08116417
R1;54.56642287
R3;45.59939878
R1;54.56053489
R3;45.61613551
R2;67.073112
R2;67.07968269
R1;54.56379091
R1;54.54233249
R2;67.07136727
R1;54.54760643
R2;67.0835579
R1;54.56128329
R3;45.59251271
R1;54.5658759
R1;54.54810835
R3;45.61151699
R2;67.06915094
R3;45.59751341
R1;54.5683077
R1;54.54640114
R1;54.57078827
R2;67.07542374
R1;54.5614498
R3;45.60405165
R1;54.56209509
R2;67.08036961
R1;54.5579388
R2;67.06996859
R3;45.60731011
R3;45.59334534
R1;54.54373706
R1;54.53532307
R3;45.60178407
R1;54.56333059
R2;67.07369799
R3;45.59496808
R2;67.0762986
R2;67.07277825
R2;67.06299479
R2;67.06976996
R1;54.5683686
R3;45.60597825
R3;45.59411586
R1;54.57138479
R2;67.07236183
R1;54.56670657
R1;54.56030066
R3;45.59651925
R1;54.55254401
R3;45.61107744
R3;45.61047697
R1;54.56827428
R3;45.60681717
R3;45.59037251
R3;45.59514918
R1;54.55879846
R3;45.59715541
R3;45.58677781
R1;54.55723679
R1;54.57385072
R2;67.04506815
R1;54.55843533
R1;54.55260993
R2;67.05478915
R3;45.60493205
R3;45.58816672
R3;45.60619549
R1;54.53866119
R3;45.59897785
R2;67.06852341
R1;54.56210619
R3;45.60332579
R1;54.56363712
R2;67.07994007
R3;45.59491342
R1;54.57155876
R1;54.56224928
R3;45.59448611
R3;45.60537735
R1;54.55029064
R3;45.58705454
R2;67.07646391
R2;67.06717029
R3;45.60329421
R1;54.5598649
R3;45.60961904
R1;54.55162508
R3;45.57970114
R2;67.06594334
R2;67.07491776
R2;67.08610351
R1;54.53652618
R3;45.5873805
R1;54.55048272
R3;45.59764013
R3;45.59763645
R1;54.56940715
R1;54.56015726
R3;45.59331258
R2;67.08648573
R2;67.07250721
R2;67.07821635
R1;54.56924321
R2;67.06851569
R3;45.60250868
R2;67.07199298
R3;45.58808743
R1;54.57834962
R2;67.0625068
R3;45.58488505
R1;54.59037572
R2;67.08780899
R3;45.60159532
R3;45.59822125
R2;67.08180158
R3;45.59531795
R1;54.55171274
R2;67.0629409
R1;54.55931962
R1;54.55824503
R1;54.56758666
R2;67.07718641
R3;45.61935101
R1;54.54803185
R1;54.54416763
R2;67.06866039
R2;67.05515668
R3;45.59157641
R1;54.54145414
R3;45.59965532
R3;45.60392991
R2;67.08172441
R2;67.06090012
R2;67.0636475
R1;54.5538008
R3;45.5824339
R1;54.5682247
R3;45.59953005
R2;67.04655904
R3;45.60826373
R2;67.07636162
R3;45.61467583
R1;54.5779331
R1;54.56237021
R1;54.54872664
R1;54.55659529
R3;45.58715965
R3;45.59331088
R3;45.58775628
R2;67.07610604
R3;45.59131942
R2;67.04890693
R2;67.06175891
R1;54.56912288
R3;45.59217284
R1;54.55409796
R1;54.55334703
R3;45.57918605
R3;45.59870832
R2;67.07963891
R2;67.08331852
R2;67.07741651
R2;67.05834147
R2;67.07006956
R2;67.09291503
R3;45.60181823
R1;54.55315912
R1;54.55997683
R3;45.59620326
R1;54.55216759
R3;45.58243948
R2;67.07221562
R2;67.06197046
R3;45.60328685
R2;67.06024682
R2;67.06485159
R1;54.55210933
R1;54.56494156
R1;54.55853139
R2;67.06628822
R3;45.59762655
R1;54.55346873
R1;54.56458635
R3;45.60309708
R3;45.61171058
R3;45.59260818
R2;67.0635229
R3;45.60030222
R3;45.6026764
R1;54.5716858
R1;54.55609899
R3;45.5963106
R2;67.05508353
R1;54.57195001
R1;54.56275085
R1;54.5930832
R2;67.06334607
R2;67.0908157
R3;45.57975253
R3;45.60403116
R3;45.5990655
R1;54.56423773
R2;67.07268326
R1;54.56951935
R2;67.06560638
R1;54.55416172
R3;45.58601945
R3;45.5967934
R3;45.5862343
R1;54.54523243
R3;45.61006375
R3;45.59707383
R1;54.54932034
R3;45.60878151
R3;45.6085951
R2;67.06309103
R1;54.55601581
R3;45.59810669
R2;67.06716127
R2;67.0652577
R2;67.05985294
R1;54.57505369
R2;67.08017427
R2;67.06983806
R1;54.55090404
R3;45.6144662
R2;67.08063261
R2;67.07505049
R2;67.06758234
R2;67.066882
R3;45.60463654
R1;54.55620823
R2;67.06949127
R3;45.59533864
R2;67.07611145
R3;45.5958665
R1;54.56721814
R3;45.60434295
R2;67.06454066
R1;54.56354805
R2;67.07022454
R3;45.59957801
R1;54.54360569
R2;67.08036735
R1;54.57264577
R2;67.04530432
R3;45.61256625
R1;54.56823812
R1;54.55096688
R3;45.60358541
R2;67.07881199
R2;67.05621919
R1;54.56384664
R2;67.06902893
R1;54.56476124
R1;54.56868171
R2;67.06160581
R2;67.06035523
R1;54.54991034
R2;67.06095178
R2;67.06469342
R2;67.08545131
R3;45.5828607
R3;45.60631673
R1;54.58464515
R2;67.06427096
R1;54.54862858
R2;67.06945845
R1;54.56977079
R2;67.0758499
R2;67.0737058
R3;45.57967727
R2;67.05802845
R3;45.61347624
R1;54.55195052
R1;54.5645406
R3;45.58261722
R2;67.0609943
R1;54.55172056
R2;67.06202668
R2;67.05083687
R1;54.55431203
R3;45.59766973
R2;67.0760078
R1;54.56653971
R2;67.06211734
R2;67.07023229
R3;45.58706753
R3;45.59210394
R1;54.56110028
R2;67.07866701
R2;67.06983647
R3;45.59461693
R2;67.05564944
R1;54.5471808
R3;45.61089922
R3;45.62138649
R3;45.59654227
R1;54.56115585
R1;54.55175628
R2;67.07533469
R1;54.57583331
R3;45.59901011
R1;54.55324574
R3;45.60927453
R3;45.58951912
R3;45.60935072
R3;45.61055213
R3;45.61471553
R3;45.60521948
R2;67.08087128
R1;54.58234048
R3;45.59687176
R1;54.55243928
R1;54.55293193
R2;67.08811445
R1;54.553056
R2;67.06786309
R2;67.07877314
R1;54.56419227
R1;54.56187699
R3;45.59702992
R1;54.57425801
R3;45.60489566
R2;67.08547963
R3;45.58431598
R3;45.58912964
R1;54.56597527
R2;67.06306708
R2;67.05757755
R3;45.60455815
R2;67.07144693
R1;54.56234941
R3;45.60051137
R2;67.08093573
R1;54.55954594
R1;54.56932351
R3;45.59020948
R2;67.07849819
R1;54.55547468
R3;45.59362983
R2;67.06936735
R3;45.61795162
R3;45.60028592
R3;45.60116296
R1;54.57559556
R1;54.56261688
R1;54.55640539
R3;45.59781786
R3;45.59989735
R1;54.54739383
R1;54.5647636
R2;67.0660945
R2;67.05513797
R1;54.55044751
R1;54.57675893
R2;67.07923093
R2;67.06591746
R1;54.55516278
R2;67.04847004
R3;45.60729014
R1;54.57373171
R1;54.56420979
R3;45.58538504
R3;45.59673736
R2;67.07306317
R1;54.57735932
R2;67.06303984
R2;67.06906083
R3;45.59541243
R1;54.55827752
R2;67.06415734
R1;54.55731746
R1;54.56513978
R3;45.60938917
R2;67.05715284
R3;45.60403619
R1;54.54425208
R3;45.58148271
R2;67.05661319
R3;45.60131
R3;45.58448736
R3;45.6115643
R1;54.54673006
R2;67.06612211
R3;45.60042699
R3;45.61986339
R3;45.58159023
R3;45.61982555
R3;45.59656892
R3;45.58231552
R3;45.60546029
R3;45.61563831
R3;45.59254013
R1;54.57577981
R1;54.55778142
R3;45.59894625
R2;67.08495117
R3;45.60649885
R2;67.07082256
R2;67.05666154
R3;45.59249
R3;45.60334771
R2;67.07313754
R1;54.55388523
R2;67.05915627
R3;45.59342475
R2;67.08452462
R1;54.57724019
R2;67.07481339
R2;67.07864075
R2;67.07847401
R3;45.60697942
R2;67.0630969
R3;45.60928327
R1;54.55778948
R1;54.5413783
R2;67.07560413
R3;45.58819961
R1;54.57271435
R2;67.07894065
R2;67.075676
R2;67.08407666
R3;45.60934224
R2;67.08486769
R1;54.55519427
R2;67.07544546
R1;54.57264926
R3;45.6169738
R3;45.60478838
R3;45.60587406
R3;45.60423881
R1;54.56103411
R2;67.06501161
R3;45.5853066
R2;67.07613959
R2;67.0648288
R1;54.54754664
R2;67.06146699
R2;67.06272374
R3;45.58832
R2;67.0518621
R2;67.05431242
R1;54.55541231
R1;54.58179404
R3;45.62952387
R2;67.07278122
R3;45.60554023
R1;54.5661864
R3;45.60183382
R3;45.61003001
R3;45.59494709
R3;45.60294787
R1;54.56736691
R1;54.5494633
R3;45.59547856
R3;45.6109574
R3;45.6033743
R2;67.08046323
R3;45.58628688
R1;54.54954769
R2;67.04164687
R2;67.06699432
R2;67.07263418
R1;54.55553676
R3;45.58324326
R2;67.06657736
R2;67.06945871
R1;54.56218028
R2;67.06937422
R3;45.59122665
R1;54.54752654
R2;67.06299254
R1;54.55162143
